Time (min)	Step (s)	Value (EU)
18.125000	0.5	-0.140196
18.133333	0.5	-0.138828
18.141667	0.5	-0.132969
18.150000	0.5	-0.125547
18.158333	0.5	-0.118711
18.166667	0.5	-0.115391
18.175000	0.5	-0.113828
18.183333	0.5	-0.113633
18.191667	0.5	-0.113438
18.200000	0.5	-0.114414
18.208333	0.5	-0.116953
18.216667	0.5	-0.122227
18.225000	0.5	-0.129844
18.233333	0.5	-0.136094
18.241667	0.5	-0.138047
18.250000	0.5	-0.135118
18.258333	0.5	-0.129063
18.266667	0.5	-0.122227
18.275000	0.5	-0.114610
18.283333	0.5	-0.105821
18.291667	0.5	-0.095469
18.300000	0.5	-0.086680
18.308333	0.5	-0.082188
18.316667	0.5	-0.086875
18.325000	0.5	-0.095274
18.333333	0.5	-0.103672
18.341667	0.5	-0.108164
18.350000	0.5	-0.109141
18.358333	0.5	-0.108750
18.366667	0.5	-0.107383
18.375000	0.5	-0.105430
18.383333	0.5	-0.100157
18.391667	0.5	-0.092344
18.400000	0.5	-0.084727
18.408333	0.5	-0.076133
18.416667	0.5	-0.065586
18.425000	0.5	-0.046836
18.433333	0.5	-0.017735
18.441667	0.5	0.019570
18.450000	0.5	0.059023
18.458333	0.5	0.097109
18.466667	0.5	0.137148
18.475000	0.5	0.185390
18.483333	0.5	0.248476
18.491667	0.5	0.326992
18.500000	0.5	0.420742
18.508333	0.5	0.527968
18.516667	0.5	0.650625
18.525000	0.5	0.792812
18.533333	0.5	0.958828
18.541667	0.5	1.151406
18.550000	0.5	1.369179
18.558333	0.5	1.609804
18.566667	0.5	1.868984
18.575000	0.5	2.142421
18.583333	0.5	2.425820
18.591667	0.5	2.715273
18.600000	0.5	3.005117
18.608333	0.5	3.287930
18.616667	0.5	3.553555
18.625000	0.5	3.788320
18.633333	0.5	3.984219
18.641667	0.5	4.135586
18.650000	0.5	4.240078
18.658333	0.5	4.294961
18.666667	0.5	4.295352
18.675000	0.5	4.237734
18.683333	0.5	4.121914
18.691667	0.5	3.951015
18.700000	0.5	3.736367
18.708333	0.5	3.487930
18.716667	0.5	3.215469
18.725000	0.5	2.927187
18.733333	0.5	2.628750
18.741667	0.5	2.327578
18.750000	0.5	2.036953
18.758333	0.5	1.764101
18.766667	0.5	1.514297
18.775000	0.5	1.285195
18.783333	0.5	1.075234
18.791667	0.5	0.884804
18.800000	0.5	0.713906
18.808333	0.5	0.566445
18.816667	0.5	0.444961
18.825000	0.5	0.347695
18.833333	0.5	0.272890
18.841667	0.5	0.212929
18.850000	0.5	0.161562
18.858333	0.5	0.115078
18.866667	0.5	0.072304
18.875000	0.5	0.034023
18.883333	0.5	0.002578
18.891667	0.5	-0.021250
18.900000	0.5	-0.038633
18.908333	0.5	-0.051524
18.916667	0.5	-0.061289
18.925000	0.5	-0.069493
18.933333	0.5	-0.075352
18.941667	0.5	-0.078086
18.950000	0.5	-0.076914
18.958333	0.5	-0.072618
18.966667	0.5	-0.066953
18.975000	0.5	-0.060899
18.983333	0.5	-0.055821
18.991667	0.5	-0.048985
19.000000	0.5	-0.038633
19.008333	0.5	-0.026914
19.016667	0.5	-0.016563
19.025000	0.5	-0.007774
19.033333	0.5	0.004336
19.041667	0.5	0.025039
19.050000	0.5	0.057070
19.058333	0.5	0.097304
19.066667	0.5	0.141250
19.075000	0.5	0.185195
19.083333	0.5	0.226211
19.091667	0.5	0.264687
19.100000	0.5	0.303554
19.108333	0.5	0.345937
19.116667	0.5	0.392031
19.125000	0.5	0.439687
19.133333	0.5	0.484609
19.141667	0.5	0.525625
19.150000	0.5	0.564687
19.158333	0.5	0.602968
19.166667	0.5	0.637539
19.175000	0.5	0.664687
19.183333	0.5	0.677382
19.191667	0.5	0.674453
19.200000	0.5	0.656289
19.208333	0.5	0.629922
19.216667	0.5	0.599843
19.225000	0.5	0.567422
19.233333	0.5	0.532265
19.241667	0.5	0.490859
19.250000	0.5	0.444765
19.258333	0.5	0.400429
19.266667	0.5	0.362148
19.275000	0.5	0.333047
19.283333	0.5	0.309414
19.291667	0.5	0.291445
19.300000	0.5	0.281484
19.308333	0.5	0.284218
19.316667	0.5	0.302968
19.325000	0.5	0.334804
19.333333	0.5	0.379140
19.341667	0.5	0.431679
19.350000	0.5	0.493593
19.358333	0.5	0.563320
19.366667	0.5	0.640078
19.375000	0.5	0.720937
19.383333	0.5	0.807070
19.391667	0.5	0.898281
19.400000	0.5	0.994375
19.408333	0.5	1.089297
19.416667	0.5	1.174843
19.425000	0.5	1.246328
19.433333	0.5	1.301406
19.441667	0.5	1.341445
19.450000	0.5	1.362929
19.458333	0.5	1.364492
19.466667	0.5	1.346914
19.475000	0.5	1.311367
19.483333	0.5	1.261757
19.491667	0.5	1.200625
19.500000	0.5	1.127187
19.508333	0.5	1.041836
19.516667	0.5	0.945937
19.525000	0.5	0.843398
19.533333	0.5	0.740468
19.541667	0.5	0.642031
19.550000	0.5	0.548086
19.558333	0.5	0.457070
19.566667	0.5	0.370351
19.575000	0.5	0.290468
19.583333	0.5	0.220742
19.591667	0.5	0.162929
19.600000	0.5	0.117422
19.608333	0.5	0.081679
19.616667	0.5	0.051211
19.625000	0.5	0.021132
19.633333	0.5	-0.008946
19.641667	0.5	-0.035118
19.650000	0.5	-0.052305
19.658333	0.5	-0.059532
19.666667	0.5	-0.060899
19.675000	0.5	-0.062071
19.683333	0.5	-0.065782
19.691667	0.5	-0.072422
19.700000	0.5	-0.082578
19.708333	0.5	-0.094688
19.716667	0.5	-0.106407
19.725000	0.5	-0.116172
19.733333	0.5	-0.123008
19.741667	0.5	-0.126914
19.750000	0.5	-0.127110
19.758333	0.5	-0.124571
19.766667	0.5	-0.121250
19.775000	0.5	-0.119688
19.783333	0.5	-0.120860
19.791667	0.5	-0.126328
19.800000	0.5	-0.131993
19.808333	0.5	-0.135899
19.816667	0.5	-0.136289
19.825000	0.5	-0.133164
19.833333	0.5	-0.126914
19.841667	0.5	-0.118907
19.850000	0.5	-0.113243
19.858333	0.5	-0.109922
19.866667	0.5	-0.110118
19.875000	0.5	-0.110703
19.883333	0.5	-0.108555
19.891667	0.5	-0.104063
19.900000	0.5	-0.099180
19.908333	0.5	-0.097227
19.916667	0.5	-0.099180
19.925000	0.5	-0.103868
19.933333	0.5	-0.108555
19.941667	0.5	-0.112071
19.950000	0.5	-0.113633
19.958333	0.5	-0.113828
19.966667	0.5	-0.114414
19.975000	0.5	-0.112657
19.983333	0.5	-0.108555
19.991667	0.5	-0.100743
20.000000	0.5	-0.089610
20.008333	0.5	-0.078477
20.016667	0.5	-0.071836
20.025000	0.5	-0.069883
20.033333	0.5	-0.071836
20.041667	0.5	-0.074375
20.050000	0.5	-0.077305
20.058333	0.5	-0.079844
20.066667	0.5	-0.082969
20.075000	0.5	-0.087266
20.083333	0.5	-0.092149
20.091667	0.5	-0.096836
20.100000	0.5	-0.099571
20.108333	0.5	-0.099961
20.116667	0.5	-0.099571
20.125000	0.5	-0.098594
20.133333	0.5	-0.098008
20.141667	0.5	-0.098399
20.150000	0.5	-0.100352
20.158333	0.5	-0.104844
20.166667	0.5	-0.110118
20.175000	0.5	-0.115977
20.183333	0.5	-0.120078
20.191667	0.5	-0.123203
20.200000	0.5	-0.123594
20.208333	0.5	-0.120274
20.216667	0.5	-0.115977
20.225000	0.5	-0.111680
20.233333	0.5	-0.109922
20.241667	0.5	-0.113047
20.250000	0.5	-0.120469
20.258333	0.5	-0.129063
20.266667	0.5	-0.133164
20.275000	0.5	-0.134141
20.283333	0.5	-0.131602
20.291667	0.5	-0.127305
20.300000	0.5	-0.123008
20.308333	0.5	-0.121836
20.316667	0.5	-0.126914
20.325000	0.5	-0.134141
20.333333	0.5	-0.141172
20.341667	0.5	-0.144102
20.350000	0.5	-0.143516
20.358333	0.5	-0.142539
20.366667	0.5	-0.143516
20.375000	0.5	-0.146836
20.383333	0.5	-0.150352
20.391667	0.5	-0.153282
20.400000	0.5	-0.154063
20.408333	0.5	-0.152500
20.416667	0.5	-0.149766
20.425000	0.5	-0.147227
20.433333	0.5	-0.146250
20.441667	0.5	-0.147032
20.450000	0.5	-0.148594
20.458333	0.5	-0.149180
20.466667	0.5	-0.149766
20.475000	0.5	-0.150743
20.483333	0.5	-0.150743
20.491667	0.5	-0.149961
20.500000	0.5	-0.148594
20.508333	0.5	-0.146641
20.516667	0.5	-0.142930
20.525000	0.5	-0.137852
20.533333	0.5	-0.132188
20.541667	0.5	-0.129844
20.550000	0.5	-0.131016
20.558333	0.5	-0.133946
20.566667	0.5	-0.135118
